user,date,time
kiran,7/1/2022,6:56:23
kiran,7/1/2022,7:09:53
kiran,7/1/2022,7:10:40
raghav,7/1/2022,8:27:30
raghav,7/1/2022,8:27:31
nikky,7/1/2022,9:22:15
nikky,7/1/2022,9:22:24
naga,7/1/2022,10:11:42
naga,7/1/2022,10:11:44
reddy,7/1/2022,10:38:41
reddy,7/1/2022,10:38:49
abhilash,7/1/2022,10:50:28
naresh,7/1/2022,10:51:23
naresh,7/1/2022,10:51:34
naresh,7/1/2022,10:51:41
naresh,7/1/2022,10:51:41
raghav,7/1/2022,10:52:05
raghav,7/1/2022,10:52:07
jay,7/1/2022,10:59:14
jay,7/1/2022,10:59:49
raghav,7/1/2022,11:08:56
raghav,7/1/2022,11:30:12
naga,7/1/2022,12:12:41
naga,7/1/2022,12:12:42
naga,7/1/2022,12:12:59
bala,7/1/2022,12:38:35
bala,7/1/2022,13:03:51
jay,7/1/2022,13:39:05
jay,7/1/2022,13:39:35
bala,7/1/2022,14:21:22
max,7/1/2022,15:02:19
max,7/1/2022,15:02:20
max,7/1/2022,15:02:20
max,7/1/2022,15:02:21
ming,7/1/2022,15:13:35
ming,7/1/2022,15:15:11
srinivas,7/1/2022,15:18:03
srinivas,7/1/2022,15:18:48
srinivas,7/1/2022,15:23:52
srinivas,7/1/2022,15:35:49
srinivas,7/1/2022,15:36:42
raghav,7/1/2022,15:37:56
raghav,7/1/2022,15:37:57
srinivas,7/1/2022,15:38:17
srinivas,7/1/2022,15:39:09
raghav,7/1/2022,15:40:46
raghav,7/1/2022,15:43:01
bala,7/1/2022,16:18:43
bala,7/1/2022,16:19:02
bala,7/1/2022,16:19:02
bala,7/1/2022,16:20:43
bala,7/1/2022,16:21:01
bala,7/1/2022,16:21:34
bala,7/1/2022,16:21:56
ming,7/1/2022,16:31:30
ming,7/1/2022,16:32:19
bala,7/1/2022,16:53:02
bala,7/1/2022,16:53:15
prab,7/1/2022,17:31:34
prab,7/1/2022,17:32:03
bala,7/1/2022,17:48:17
bala,7/1/2022,17:48:21
srinivas,7/1/2022,19:06:21
srinivas,7/1/2022,19:06:28
srinivas,7/1/2022,19:30:55
srinivas,7/1/2022,19:37:13
bala,7/1/2022,21:58:38
abhilash,7/1/2022,23:51:16
abhilash,7/1/2022,23:51:43
bala,7/2/2022,13:44:16
bala,7/2/2022,13:45:38
bala,7/2/2022,13:46:45
bala,7/2/2022,13:47:25
bala,7/2/2022,13:48:11
bala,7/2/2022,16:12:37
bala,7/2/2022,16:41:23
bala,7/2/2022,16:44:01
bala,7/2/2022,16:44:29
bala,7/2/2022,16:45:21
bala,7/2/2022,16:45:28
bala,7/2/2022,17:45:51
bala,7/2/2022,17:46:14
bala,7/2/2022,18:10:51
bala,7/2/2022,18:11:28
bala,7/2/2022,22:16:41
kiran,7/3/2022,5:54:13
kiran,7/3/2022,6:09:10
sunny,7/3/2022,23:49:24
sunny,7/3/2022,23:54:26
sunny,7/3/2022,23:55:16
